2018-03-18, 17:20, 55.838, 29.05, 11.53
2018-03-18, 17:30, 45.094, 23.67, 11.79
2018-03-18, 17:40, 50.441, 21.49, 11.45
2018-03-18, 17:50, 46.341, 19.81, 11.80
2018-03-18, 18:00, 46.249, 16.41, 11.66
2018-03-18, 18:10, 49.611, 35.33, 11.20
2018-03-18, 18:20, 48.454, 21.55, 11.88
2018-03-18, 18:30, 48.193, 16.17, 11.64
2018-03-18, 18:40, 46.629, 30.46, 11.79
2018-03-18, 18:50, 52.996, 17.37, 11.33
2018-03-18, 19:00, 48.463, 16.97, 11.33
2018-03-18, 19:10, 49.849, 32.60, 8.41
2018-03-18, 19:20, 47.661, 20.74, 11.43
2018-03-18, 19:30, 47.336, 19.94, 11.94
2018-03-18, 19:40, 48.265, 19.75, 11.96
2018-03-18, 19:50, 46.882, 18.12, 11.29
2018-03-18, 20:00, 47.456, 30.77, 12.12
2018-03-18, 20:10, 47.978, 34.51, 11.78
2018-03-18, 20:20, 53.071, 34.59, 11.85
2018-03-18, 20:30, 46.905, 19.40, 11.12
2018-03-18, 20:40, 50.656, 11.53, 8.51
2018-03-18, 20:50, 46.654, 17.80, 9.63
2018-03-18, 21:00, 56.869, 24.30, 10.12
2018-03-18, 21:10, 53.53, 23.69, 9.14
2018-03-18, 21:20, 49.541, 28.17, 11.91
2018-03-18, 21:30, 52.238, 18.01, 9.81
2018-03-18, 21:40, 47.206, 17.76, 11.56
2018-03-18, 21:50, 50.47, 27.30, 11.16
2018-03-18, 22:00, 50.953, 10.85, 11.39
2018-03-18, 22:11, 57.403, 20.62, 10.98
